name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Annual Calendar Travel Time,Automatic,White gold,-,Unworn,5326G,"Original box, original papers","United States of America, California, Newport Beach",41 mm,"$99,975"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Rose gold,2021,Unworn,5270/1R-001,"Original box, original papers","United States of America, New York, New York",41 mm,"$196,199"
Patek Philippe Nautilus,Automatic,Rose gold,-,Unworn,5980/10R-010,"Original box, original papers","Switzerland, Geneva",-,Price on request
Patek Philippe Twenty~4,Quartz,Steel,2010,Very good,4910/10A-001,"No original box, no original papers","United States of America, Texas, Houston",25 x 30 mm,"$8,950"
Patek Philippe Twenty~4,Quartz,White gold,-,Very good,4920G-001,"No original box, no original papers","Hong Kong, HONG KONG",25 x 30 mm,"$10,781"
Patek Philippe Nautilus,Automatic,Steel,2023,Very good,5990/1A-011,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2005,Unworn,5970R-001,"Original box, original papers","United Kingdom, London",40 mm,"$254,148"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Very good,5164R-001,"Original box, original papers","Thailand, Nakhon Sawan",40.8 mm,Price on request
Patek Philippe,Manual winding,Yellow gold,-,Very good,-,"No original box, no original papers","Belgium, antwerpen",50 mm,Price on request
Patek Philippe Grand Complications,Manual winding,Platinum,2023,Unworn,5373P-001,"Original box, original papers","Germany, Düsseldorf",-,"$874,145"
Patek Philippe Nautilus,Automatic,Steel,1984,Good,-,"No original box, no original papers","Germany, Munich",37 mm,"$80,176"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2023,New,905-1A-001,"Original box, original papers","United States of America, New York, New york",42mm mm,"$64,500"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,-,New,5270/1R-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong ( By Appointment Only )",41 mm,"$196,762"
Patek Philippe,Manual winding,Rose gold,1889,Very good,-,"No original box, no original papers","Germany, Mannheim",50 mm,"$8,797"
Patek Philippe Chronograph,Manual winding,White gold,2018,Very good,5170G-001,"Original box, original papers","Germany, Hamburg",39 mm,"$48,607"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2021,Unworn,5270P-001,"Original box, original papers","Switzerland, Geneva",41 mm,"$175,000"
Patek Philippe Nautilus,Automatic,Steel,2013,Very good,5726/1A-010,"Original box, original papers","Brazil, Fortaleza",40.5 mm,"$160,887"
Patek Philippe Travel Time,Manual winding,Yellow gold,-,Very good,4864J,"No original box, no original papers","United States of America, Florida, Surfside",30 mm,"$15,080"
Patek Philippe World Time,Automatic,Rose gold,2015,Very good,5131R-001,"Original box, original papers","United States of America, California, Beverly Hills",39.5 mm,"$129,250"
Patek Philippe Complications,-,Platinum,2004,Good,5054P,"Original box, original papers","Switzerland, Zürich",-,"$35,489"
Patek Philippe Aquanaut,Automatic,Steel,2022,Very good,5267/200A-001,"Original box, original papers","Germany, München",38.8 mm,"$53,429"
Patek Philippe Nautilus,Automatic,White gold,2021,Very good,5712g,"Original box, original papers","Lithuania, Vilnius",40 mm,"$81,290"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2019,Very good,5961R-010,"Original box, original papers","Hong Kong, Kwun Tong",40.5 mm,"$119,023"
Patek Philippe Twenty~4,Quartz,Steel,-,New,4910/1200A-011,"Original box, original papers","Japan, Tokyo",25.1 x 30 mm,"$15,067"
Patek Philippe Perpetual Calendar,Automatic,Rose gold,-,New,5327R-001,"Original box, original papers","United States of America, New York, New York",39 mm,Price on request
Patek Philippe Calatrava,Automatic,Rose gold,2006,Very good,5053R-010,"Original box, original papers","Germany, München",36 mm,"$29,487"
Patek Philippe Aquanaut,Automatic,Rose gold,2023,New,5268/200R-010,"Original box, original papers","UAE, Dubai",38.8 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,-,Unworn,5035G-039,"Original papers, no original box","Japan, Tokyo",-,"$26,213"
Patek Philippe Nautilus,Automatic,Rose gold,2024,Unworn,7118/1200R-010,"Original box, original papers","United States of America, Florida, Miami",35.2 mm,"$141,979"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,White gold,2022,Unworn,5204G-001,"Original box, original papers","Spain, Madrid",40 mm,"$356,339"
Patek Philippe Annual Calendar,Automatic,Platinum,-,Fair,5056P-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",37 mm,"$40,973"
Patek Philippe,-,Yellow gold,1947,Good,patek 130 yellow gold,"Original papers, no original box","United States of America, New York, New York",-,"$55,000"
Patek Philippe Aquanaut,Automatic,Steel,2000,Good,5065A-001,"Original box, original papers","Switzerland, Zürich",38 mm,"$45,065"
Patek Philippe Vintage,Manual winding,Rose gold,1960,Very good,3406,"Original box, original papers","Portugal, Lisboa","27,2 mm",Price on request
Patek Philippe Gondolo,Automatic,Yellow gold,1985,Very good,Patek philippe 3942,"Original box, original papers","United States of America, Georgia, Atlanta",31 x 29 mm,"$14,990"
Patek Philippe Aquanaut,Automatic,Steel,2017,Very good,5164A-001,"Original box, original papers","United States of America, California, Los Angeles",40.8 mm,"$79,800"
Patek Philippe Aquanaut,-,-,-,Very good,5167R-001,"Original box, original papers","United States of America, New York, Huntington",40 mm,"$68,992"
Patek Philippe Twenty~4,Quartz,Rose gold,2010,Very good,4910/11R-010,"No original box, no original papers","United States of America, Illinois, Chicago",25 x 30 mm,"$22,900"
Patek Philippe Neptune,Automatic,Steel,2000,Very good,5085/1A,"Original box, no original papers","Italy, Varese",37 mm,"$29,509"
Patek Philippe Nautilus,Automatic,Gold/Steel,-,Very good,3800/1AJ,"No original box, no original papers","United States of America, New York, New York",37.5 mm,"$38,675"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Unworn,5980/1R-001,"Original box, no original papers","United States of America, New York, New York City",40.5 mm,"$229,995"
Patek Philippe Perpetual Calendar,Automatic,Platinum,-,Fair,5140P-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",37.2 mm,"$64,246"
Patek Philippe Calatrava,Manual winding,Rose gold,1944,Very good,-,"Original papers, no original box","United States of America, Connecticut, Greenwich",36 x 44 mm,"$19,900"
Patek Philippe Annual Calendar,Automatic,Rose gold,1999,Very good,5035R,"Original box, original papers","United States of America, New York, New York",37 mm,"$29,950"
Patek Philippe Nautilus,Automatic,Platinum,2020,Very good,5711/111P-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe,Automatic,Rose gold,-,Unworn,5327R-001,"Original box, original papers","United Kingdom, London",39 mm,Price on request
Patek Philippe Neptune,Automatic,Steel,2003,Very good,5085/1A,"Original box, original papers","Spain, Barcelona",37 mm,"$43,429"
Patek Philippe Aquanaut,Automatic,Steel,2023,Unworn,5164A-001,"Original box, original papers","United States of America, Florida, Wellington",40.8 mm,"$89,950"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Unworn,5227J-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$39,495"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,3445,"No original box, no original papers","United States of America, California, West Hollywood",36 mm,"$14,500"
Patek Philippe Calatrava,Automatic,White gold,2023,Very good,6007G-010,"Original box, original papers","Hong Kong, 999077",40 mm,"$34,359"
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,7119,"No original box, no original papers","United States of America, Florida, Surfside",31 mm,"$15,080"
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5712/1R-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$210,000"
Patek Philippe Nautilus,Automatic,Rose gold,2024,Unworn,7118/1200R-010,"Original box, original papers","France, Paris",35.2 mm,"$141,979"
Patek Philippe,Manual winding,Yellow gold,1970,Good,3553/1,"No original box, no original papers","South Korea, Seoul",-,"$9,928"
Patek Philippe Calatrava,Automatic,Yellow gold,2021,Very good,5227J-001,"Original box, original papers","Italy, Perugia",39 mm,"$36,636"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,New,5268/200R-010,"Original box, original papers","Switzerland, Geneva",38.8 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2015,Very good,5726/1A-001,"Original box, original papers","Germany, München",41 mm,"$106,100"
Patek Philippe Nautilus,Automatic,Gold/Steel,2020,Very good,5980/1AR-001,"Original box, original papers","Australia, Sydney",40.5 x 38.5 mm,"$136,784"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2015,Very good,5960/1A-001,"Original box, original papers","United Kingdom, Bishops Stortford",40 mm,"$61,191"
Patek Philippe Calatrava,Automatic,Rose gold,2021,Unworn,5296R-016,"Original box, original papers","Italy, Roma",38 mm,"$56,792"
Patek Philippe Twenty~4,Automatic,Rose gold,2021,Unworn,7300/1200R-001,"Original box, original papers","United States of America, Florida, Miami",36 mm,"$44,431"
Patek Philippe World Time Chronograph,Automatic,White gold,-,Unworn,5930G-001,"Original box, original papers","United States of America, New York, NEW YORK",39.5 mm,"$57,250"
Patek Philippe Gondolo,Automatic,White gold,-,Unworn,5135G-010,"Original box, original papers","United States of America, New York, New York",38 x 51 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5712R-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$124,750"
Patek Philippe World Time Chronograph,Automatic,Platinum,2022,New,5930P-001,"Original box, original papers","Spain, Madrid",39.5 mm,"$113,472"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5968A-001,"Original box, original papers","Canada, Vancouver",42.2 x 44 mm,"$140,620"
Patek Philippe Chronograph,Manual winding,Platinum,-,Unworn,5170P-001,"Original box, original papers","United States of America, New York, New York",39.4 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5712R-001,"Original box, original papers","United States of America, New York, Brooklyn",40 x 38 mm,"$124,750"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5712/1A-001,"Original box, original papers","United States of America, Florida, Miami",40.5 mm,"$225,000"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Very good,5711/1R-001,"Original papers, no original box","China, shenzhen",40 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5712/1A-001,"No original box, no original papers","France, Paris",40 mm,"$118,037"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5297G-001,"No original box, no original papers","United States of America, Texas, Austin",38 x 465 mm,"$29,150"
Patek Philippe Gondolo,Automatic,Yellow gold,-,Very good,5135J-001,"No original box, no original papers","United States of America, New York, Forest Hills",51 mm,"$32,500"
Patek Philippe Calatrava,-,-,-,New,5226G,"Original box, original papers","United States of America, Florida, North Miami Beach",40 mm,"$53,550"
Patek Philippe Nautilus,Automatic,Steel,2023,New,5990/1A-011,"Original box, original papers","UAE, Dubai",40.5 mm,Price on request
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,6127G-010/7127G-010,"Original box, no original papers","Japan, Tokyo",-,"$59,487"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2023,Unworn,5905/1A-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$70,620"
Patek Philippe Twenty~4,Quartz,Steel,2004,Very good,4910/10A-010,"Original box, no original papers","Italy, Roma",25 x 30 mm,"$10,133"
Patek Philippe Annual Calendar,Automatic,White gold,-,Unworn,5037/1G,"Original box, original papers","United States of America, New York, New York",-,Price on request
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5726/1A-014,"Original box, original papers","United States of America, Florida, Orlando",40.5 mm,"$118,875"
Patek Philippe Aquanaut,Automatic,White gold,2019,Unworn,5168G-010,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$105,000"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2009,Very good,5960R-001,"Original box, original papers","Germany, Berlin",40.5 mm,"$51,213"
Patek Philippe Nautilus,Automatic,White gold,-,New,7118/1450G-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong",35.2 mm,"$418,481"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5167A-001,"Original box, original papers","The Netherlands, Amsterdam",40 mm,"$70,149"
Patek Philippe Nautilus,Automatic,Steel,2008,Very good,5800/1A-001,"Original box, original papers","Italy, Riccione",38 mm,"$121,253"
Patek Philippe Nautilus,Automatic,Steel,2020,Unworn,5726/1A-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,-,Unworn,4997/200G-001,"Original box, original papers","United States of America, New York, New York",35 mm,"$32,999"
Patek Philippe Perpetual Calendar,-,Platinum,2011,Very good,5496P,"Original box, no original papers","United States of America, New Hampshire, Nashua",39.5 mm,"$57,000"
Patek Philippe Celestial,-,Rose gold,2019,Very good,6102R,"Original box, original papers","United States of America, California, Arcadia",-,"$450,000"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Unworn,5205R-011,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Good,2573/2,"No original box, no original papers","Japan, Tokyo",33 mm,"$9,703"
Patek Philippe Calatrava,Automatic,White gold,2024,New,5226G-001,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",40 mm,Price on request
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2023,New,5905R-010,"Original box, original papers","United States of America, Pennsylvania, Philadelphia",-,"$79,900"
Patek Philippe Calatrava,Automatic,Yellow gold,1995,Very good,3992,"Original box, original papers","Portugal, Lisboa",33 x 38.6 mm,"$22,216"
Patek Philippe Nautilus,Automatic,White gold,2024,New,5719/10G-010,"Original box, original papers","Spain, marbella",40 mm,"$723,813"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,3758,"No original box, no original papers","United Kingdom, London",36 mm,"$16,292"
Patek Philippe Annual Calendar,Automatic,Rose gold,2021,New,5205R-010,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Complications,Automatic,White gold,2005,Very good,5054G,"No original box, no original papers","United States of America, California, Diamond Bar",36 mm,"$25,000"
Patek Philippe Annual Calendar,Automatic,White gold,2018,Unworn,5205G-010,"Original box, original papers",Spain,40 mm,"$44,431"
Patek Philippe Calatrava,Automatic,-,-,Very good,5226G-001,"Original box, original papers","United States of America, California, Beverly Hills",40 mm,"$41,648"
Patek Philippe Calatrava,Automatic,White gold,-,New,6007G-010,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe World Time,-,Rose gold,2022,-,5230R-012,"Original box, original papers","United States of America, Texas, Dallas",38.5 mm,"$44,405"
Patek Philippe Nautilus,Automatic,White gold,2009,Very good,5711G-001,"Original box, original papers","Denmark, Hellerup",40 mm,"$79,118"
Patek Philippe Nautilus,Automatic,White gold,2020,Very good,5740/1G-001,"Original box, original papers","Italy, Roma",40 mm,"$249,270"
Patek Philippe Nautilus,Automatic,Rose gold,2023,Unworn,5990/1R-001,"Original box, original papers","Spain, Madrid",40.5 mm,"$295,093"
Patek Philippe Vintage,Manual winding,White gold,-,Very good,-,"Original box, no original papers",Spain,20 x 33 mm,"$5,568"
Patek Philippe Nautilus,Automatic,Steel,2020,Very good,7118/1A-011,"Original box, original papers","Hong Kong, Kwun Tong",35.2 mm,"$57,132"
Patek Philippe Nautilus,Automatic,Steel,2016,New,5980/1A-001,"Original box, original papers","Italy, Milano",40.5 x 44 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2024,Unworn,7118/1R-001,"Original box, original papers","France, Paris",35.2 mm,"$107,904"
Patek Philippe Nautilus,Automatic,Steel,1999,Very good,3710/1A-001,"Original box, original papers","Switzerland, Geneva",42 x 38 mm,Price on request
Patek Philippe Calatrava,Manual winding,White gold,2023,New,6119G-001,"Original box, original papers","Poland, Łódź",39 x 38.5 mm,"$34,509"
Patek Philippe,Automatic,White gold,2022,Very good,7234G-001,"Original box, original papers","Japan, Chuo-ku, Tokyo",37.5 mm,"$32,989"
Patek Philippe Minute Repeater Perpetual Calendar,-,Rose gold,2018,Unworn,5207R-001,"Original box, original papers","United States of America, New York, New York",-,"$995,000"
Patek Philippe Annual Calendar Chronograph,Automatic,White gold,2020,New,5960/01G-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Complications,Manual winding,Rose gold,-,Good,4968/400R-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",33.3 mm,"$59,526"
Patek Philippe World Time,Automatic,Platinum,2022,Very good,5230P-001,"Original box, original papers","United States of America, Florida, HIALEAH",38.5 mm,"$58,000"
Patek Philippe Aquanaut,Automatic,White gold,-,Unworn,5968G-010,"Original box, original papers","United Kingdom, London",42 mm,Price on request
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,2268-1,"No original box, no original papers","Spain, Madrid",32 mm,"$11,692"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,-,Very good,3970EP,"Original box, original papers","United States of America, Florida, Surfside",36 mm,"$182,000"
Patek Philippe Annual Calendar,Automatic,White gold,2006,New,5250G-001,"Original papers, no original box","Switzerland, Geneva",39 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Platinum,-,Unworn,5146P-001,"Original box, original papers","United States of America, New York, New York",39 mm,Price on request
Patek Philippe Calatrava,Automatic,Rose gold,2022,New,5227R-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$44,000"
Patek Philippe Aquanaut,Automatic,Rose gold,-,New,5062/450R-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon",38.8 mm,"$340,854"
Patek Philippe Chronograph,Manual winding,White gold,2021,Very good,5172G-001,"Original box, original papers","United States of America, New York, Hartsdale",41 mm,"$61,500"
Patek Philippe Gondolo,Manual winding,Yellow gold,1970,Very good,3430 Gondolo,"No original box, no original papers","Japan, Saitama",26 mm,"$5,989"
Patek Philippe Annual Calendar,Automatic,Yellow gold,2000,Very good,5036/1J,"Original box, original papers","Italy, Bergamo",37 mm,"$38,863"
Patek Philippe Nautilus,Automatic,Rose gold,2021,Good,5980R-001,"Original box, original papers","South Korea, Busan",40.5 mm,"$127,484"
Patek Philippe Chronograph,Manual winding,Yellow gold,1952,Very good,1579,"No original box, no original papers","Germany, Meerbusch",36 mm,"$83,517"
Patek Philippe Annual Calendar Travel Time,Automatic,White gold,2024,New,5326G-001,"Original box, original papers","United States of America, Florida, Sunny Isles Beach",41 mm,Price on request
Patek Philippe Gondolo,Manual winding,Yellow gold,1993,Very good,5014,"Original papers, no original box","Germany, Mannheim",27 mm,"$13,306"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5726/1A-001,"Original box, original papers","Portugal, 391",40.5 mm,Price on request
Patek Philippe Calatrava,Automatic,Platinum,-,New,5088/100P-001,"Original box, original papers","United States of America, New York, New York",38 mm,Price on request
Patek Philippe Golden Ellipse,Automatic,Yellow gold,1990,Very good,3738,"No original box, no original papers","United States of America, Texas, Houston",31 x 36 mm,"$23,650"
Patek Philippe Chronograph,-,-,-,Unworn,5975J-001,"No original box, no original papers","United States of America, Florida, Naples",-,"$79,560"
Patek Philippe Perpetual Calendar,Automatic,White gold,2020,Fair,5320G-001,"Original box, original papers","United States of America, California, Beverly Hills",40 mm,"$69,950"
Patek Philippe Gondolo,Manual winding,White gold,-,Very good,5024G-001,"No original box, no original papers","Japan, Chuo-ku, Tokyo",38 x 30 mm,"$10,942"
Patek Philippe World Time,Automatic,Yellow gold,2003,Very good,5110J,"No original box, no original papers","Germany, München",37 mm,"$33,262"
Patek Philippe Neptune,Automatic,Steel,2000,Very good,5085/1A,"Original box, original papers","Cyprus, Limassol",37 mm,"$35,469"
Patek Philippe Chronograph,Manual winding,Yellow gold,1999,Very good,5070J-001,"Original box, original papers","Italy, Milano",42 mm,"$75,722"
Patek Philippe Twenty~4,Quartz,Steel,2023,New,4910/1200A-001,"Original box, original papers","United States of America, Illinois, Chicago",25.1 x 30 mm,"$17,495"
Patek Philippe,Manual winding,Yellow gold,1918,Very good,-,"No original box, no original papers","Germany, Mannheim",45 mm,"$7,014"
Patek Philippe Nautilus,Automatic,Rose gold,2023,New,5712R-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$135,000"
Patek Philippe Aquanaut,Automatic,Steel,2017,Good,5167A-001,"Original box, original papers","Japan, Tokyo",41 mm,"$54,830"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,3919,"Original box, original papers","United States of America, New York, New York",33 mm,"$19,850"
Patek Philippe Nautilus,Automatic,Rose gold,2024,New,5980/1R-001,"Original box, original papers","United States of America, Pennsylvania, Philadelphia",40.5 mm,"$325,000"
Patek Philippe Aquanaut,Automatic,Rose gold,-,New,7968/300R-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong",39.9 mm,"$428,201"
Patek Philippe World Time,Automatic,White gold,2004,Very good,5110G,"Original papers, no original box","United States of America, Florida, West Palm Beach",37 mm,"$32,500"
Patek Philippe Aquanaut,Automatic,Steel,2024,New,5167/1a-001,"Original box, original papers","United States of America, New York, Airmont",40 mm,"$108,675"
Patek Philippe Nautilus,Automatic,Steel,2013,Very good,5711/1A-010,"Original box, original papers","Germany, Weißenhorn",40 mm,"$105,787"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,New,7140G-001,"Original box, original papers","UAE, Dubai",35.1 mm,"$79,289"
Patek Philippe Annual Calendar,Automatic,White gold,-,Unworn,5396/1G-001,"Original box, original papers","United States of America, New York, New York",38 mm,Price on request
Patek Philippe,Manual winding,Yellow gold,1928,Very good,Early rectangle,"Original papers, no original box","Japan, Tokyo",-,"$15,406"
Patek Philippe Nautilus,Automatic,Rose gold,2024,Unworn,7118/1200R-001,"Original box, original papers","United States of America, Florida, Miami",35.2 mm,"$149,217"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,5711/1A-010,"Original box, original papers","United States of America, Florida, miami",40 x 38 mm,"$118,000"
Patek Philippe Gondolo,Manual winding,White gold,-,Unworn,5200G-001,"Original box, original papers","United States of America, New York, New York",32.4 x 46.9 mm,"$48,500"
Patek Philippe Nautilus,Automatic,Steel,2020,Very good,5726/1A-014,"Original box, original papers","United States of America, New York, BROOKLYN",40.5 mm,"$229,000"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Unworn,7118/1200R-001,"Original box, original papers","United States of America, New York, New York",35.2 mm,"$114,500"
Patek Philippe Aquanaut,Automatic,White gold,-,Unworn,5168G-010,"Original box, original papers","United States of America, New York, New York",42.2 mm,Price on request
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Yellow gold,-,Unworn,5970J-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,2481,"Original box, no original papers","United States of America, California, Santa Monica",37 mm,"$22,550"
Patek Philippe Golden Ellipse,Automatic,Platinum,2022,New,5738P-001,"Original box, original papers","Germany, Bamberg",34.5 x 39.5 mm,"$54,553"
Patek Philippe Nautilus,Automatic,Rose gold,2021,New,5980/1R-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,Price on request
Patek Philippe Travel Time,Manual winding,Yellow gold,2001,Very good,5134J,"Original box, original papers","United Kingdom, SG52HY",37 mm,"$23,460"
Patek Philippe Nautilus,Automatic,Steel,2023,New,5726/1A-014,"Original box, original papers","United States of America, New York, New york",40.5 mm,"$128,500"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2013,Very good,5204P-010,"Original box, original papers","Switzerland, Geneva",40 mm,"$270,391"
Patek Philippe Perpetual Calendar,Automatic,Rose gold,2016,Very good,5327R-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$83,680"
Patek Philippe Aquanaut,Automatic,Steel,-,Unworn,5164A-001,"Original box, original papers","United States of America, New York, New York",40.8 mm,Price on request
Patek Philippe Travel Time,Manual winding,Yellow gold,-,Very good,4864J,"No original box, no original papers","Italy, Roma",29 mm,"$13,363"
Patek Philippe Calatrava,Automatic,Rose gold,2022,Good,7234R-001,"Original box, original papers","UAE, dubai",37.5 mm,"$31,269"
Patek Philippe Nautilus,Automatic,Steel,2012,Very good,5711/1A-011,"Original box, original papers","Italy, jesolo",40 x 38 mm,"$96,880"
Patek Philippe Nautilus,Quartz,Rose gold,2022,New,7010/1R-012,"Original box, original papers","Switzerland, Geneva",32 mm,Price on request
Patek Philippe World Time Chronograph,Automatic,Steel,2023,New,5935A-001,"Original box, original papers","Monaco, Monaco",41 mm,"$66,814"
Patek Philippe Annual Calendar,Automatic,-,-,Very good,5205G,"Original box, no original papers","United States of America, New York, Huntington",40 mm,"$30,992"
Patek Philippe Gondolo,Manual winding,White gold,2007,Very good,5109G-001,"Original box, original papers","Hong Kong, Hong Kong",43 x 30 mm,"$15,942"
Patek Philippe Travel Time,Manual winding,White gold,2013,Very good,4934G,"Original papers, no original box","United States of America, New York, New York",-,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2014,Very good,5980R-001,"Original box, original papers","United Kingdom, London",40.5 mm,"$101,594"
Patek Philippe Twenty~4,Quartz,Steel,2011,Unworn,4910/10A-012,"Original box, original papers","Hong Kong, Kwun Tong",25 x 30 mm,"$12,065"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,3800,"No original box, no original papers","Germany, Köln",36 mm,"$55,667"
Patek Philippe,Manual winding,Red gold,1883,Very good,-,"No original box, no original papers","Germany, München",52 mm,"$25,389"
Patek Philippe Nautilus,Automatic,Rose gold,2014,Very good,5712R-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$104,500"
Patek Philippe Calatrava,Automatic,White gold,2019,Very good,6006G-001,"Original box, original papers","Germany, Bayern - Ebersberg",39 mm,"$33,162"
Patek Philippe Travel Time,Automatic,Platinum,2021,-,5520P-001,"Original box, original papers","United States of America, California, Beverly Hills",42.2 mm,"$186,450"
Patek Philippe Gondolo,Manual winding,White gold,2005,Good,5111G-001,"Original box, original papers","Ukraine, Odessa",33 x 48 mm,"$16,369"
Patek Philippe Calatrava,Automatic,-,-,New,7200R-001,"Original box, original papers","United States of America, Florida, North Miami Beach",-,"$30,400"
Patek Philippe Nautilus,Automatic,Steel,2006,Unworn,3712/1A-001,"Original box, original papers","Switzerland, Geneva",-,"$178,000"
Patek Philippe Calatrava,Automatic,Yellow gold,2014,Very good,5227J-001,"Original box, original papers","United States of America, New York, Great Neck",39 mm,"$29,999"
Patek Philippe Calatrava,Automatic,Rose gold,2022,Very good,5227R-001,"Original box, original papers","Hong Kong, 999077",39 mm,"$30,934"
Patek Philippe Nautilus,Automatic,Rose gold,2024,New,7118/1R-010,"Original box, original papers","Spain, Madrid",35.2 mm,Price on request
Patek Philippe Calatrava,Automatic,Rose gold,2017,Very good,5296R-001,"Original box, original papers","Singapore, Singapore",38 mm,"$25,029"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,-,"Original box, no original papers","Spain, Barcelona",36 mm,"$17,706"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,Unworn,5260/355R-001,"Original box, original papers","France, Paris",38.5 mm,Price on request
Patek Philippe Aquanaut,Automatic,White gold,2023,Unworn,5968G-001,"Original box, original papers","United States of America, Illinois, Chicago",42.2 mm,"$129,975"
Patek Philippe Nautilus,Automatic,Rose gold,2020,New,5990/1R-001,"Original box, original papers","UAE, Dubai",40.5 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2021,New,5980,"Original box, original papers","Italy, Brescia",40.5 mm,"$311,685"
Patek Philippe Pagoda,Manual winding,Rose gold,1997,Unworn,4900,"Original box, original papers","Germany, München",25mm mm,"$15,011"
Patek Philippe Golden Ellipse,Quartz,White gold,-,Very good,4832,"Original box, no original papers","United States of America, Florida, Ft Lauderdale",23 mm,"$16,200"
